id actual predicted
0 0 1
1 0 1
2 0 1
3 0 1
4 0 1
5 0 0
6 0 1
7 0 1
8 0 0
9 0 1
10 0 1
11 0 1
12 0 1
13 0 0
14 0 0
15 0 0
16 0 0
17 0 1
18 0 0
19 0 1
20 0 1
21 0 1
22 0 1
23 0 1
24 0 1
25 0 1
26 0 1
27 0 1
28 0 1
29 0 1
30 0 1
31 0 1
32 0 1
33 0 1
34 0 1
35 0 1
36 0 1
37 0 1
38 0 0
39 0 1
40 0 1
41 0 0
42 0 1
43 0 1
44 0 0
45 0 1
46 0 1
47 0 1
48 0 1
49 0 1
50 1 0
51 1 0
52 1 0
53 1 0
54 1 0
55 1 0
56 1 0
57 1 0
58 1 0
59 1 0
60 1 0
61 1 0
62 1 0
63 1 0
64 1 0
65 1 0
66 1 0
67 1 0
68 1 0
69 1 0
70 1 0
71 1 0
72 1 0
73 1 0
74 1 0
75 1 0
76 1 0
77 1 0
78 1 0
79 1 0
80 1 0
81 1 0
82 1 0
83 1 0
84 1 0
85 1 0
86 1 0
87 1 0
88 1 0
89 1 0
90 1 0
91 1 0
92 1 0
93 1 0
94 1 0
95 1 0
96 1 0
97 1 0
98 1 0
99 1 0
100 2 0
101 2 0
102 2 0
103 2 0
104 2 0
105 2 0
106 2 0
107 2 0
108 2 0
109 2 0
110 2 0
111 2 0
112 2 0
113 2 0
114 2 0
115 2 0
116 2 0
117 2 0
118 2 0
119 2 0
120 2 0
121 2 0
122 2 0
123 2 0
124 2 0
125 2 0
126 2 0
127 2 0
128 2 0
129 2 0
130 2 0
131 2 0
132 2 0
133 2 0
134 2 0
135 2 0
136 2 0
137 2 0
138 2 0
139 2 0
140 2 0
141 2 0
142 2 0
143 2 0
144 2 0
145 2 0
146 2 0
147 2 0
148 2 0
149 2 0
